acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Bom Jesus do Tocantins,1
Crédito Rural,Paranã,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Novo Acordo,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Dianópolis,1
Não,,1
"Compra Direta (PAA), Bolsa Família",Babaçulândia,1
Aposentadoria Rural,Fátima,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Paraíso do Tocantins,1
"Aposentadoria Rural, BPC",Cristalândia,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento",Esperantina,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Dianópolis,1
Compra Direta (PAA),Santa Fé do Araguaia,1
Compra Direta (PAA),Silvanópolis,1
Não,Divinópolis do Tocantins,1
"Crédito Rural, Aposentadoria Rural",Itaguatins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família, Aposentadoria Rural",Nova Olinda,1
"Compra Direta (PAA), Fomento, Bolsa Família",Talismã,1
"Crédito Rural, Fomento",Bandeirantes do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",São Salvador do Tocantins,1
"Crédito Rural, ATER",darcinópolis,1
"Compra Direta (PAA), Bolsa Família",Riachinho,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Palmeiras do Tocantins,1
Bolsa Família,Dianópolis,1
"Compra Direta (PAA), Merenda Escolar (PENAE)",Nova Olinda,1
Crédito Rural,Barrolândia,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Filadélfia,1
"Crédito Rural, Compra Direta (PAA)",Santa Fé do Araguaia,1
"Compra Direta (PAA), Bolsa Família",Ananás,1
Não,Monte Santo do Tocantins,1
Bolsa Família,Silvanópolis,1
Não,Alvorada,1
Crédito Rural,Monte do Carmo,1
Compra Direta (PAA),Araguaçu,1
Não,Colméia,1
"Compra Direta (PAA), Aposentadoria Rural",Praia Norte,1
Não,Barrolândia,1
Agente saúde,São Salvador do Tocantins,1
"Compra Direta (PAA), Bolsa Família",Nova Rosalândia,1
Crédito Rural,Rio Sono,1
Crédito Rural,Barrolândia,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",dois Irmãos do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Tupirama,1
Crédito Rural,Dueré,1
Crédito Rural,Monte Santo do Tocantins,1
"Fomento, Aposentadoria Rural",Axixá do Tocantins,1
"Crédito Rural, Merenda Escolar (PENAE), Fomento, Bolsa Família",Nova Olinda,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",dois Irmãos do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Dianópolis,1
Não,Novo Jardim,1
PENSÃO,Marianópolis do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Sucupira,1
"Compra Direta (PAA), Merenda Escolar (PENAE), CONAB",darcinópolis,1
Crédito Rural,Axixá do Tocantins,1
LOA,Nova Olinda,1
Crédito Rural,São Salvador do Tocantins,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Aparecida do Rio Negro,1
Aposentadoria Rural,São Salvador do Tocantins,1
"Crédito Rural, Bolsa Família",Miranorte,1
Aposentadoria Rural,Araguaçu,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Araguatins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE)",Paranã,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Dianópolis,1
Não,Dueré,1
APOSENTADORIA POR INVALIDEZ,Paraíso do Tocantins,1
APOSENTADORIA POR INVALIDADE,Santa Fé do Araguaia,1
Crédito Rural,Sucupira,1
Não,Paraíso do Tocantins,1
Compra Direta (PAA),Divinópolis do Tocantins,1
Bolsa Família,Gurupi,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Dianópolis,1
Não,Fátima,1
"Crédito Rural, Merenda Escolar (PENAE), Aposentadoria Rural",Bandeirantes do Tocantins,1
Não,Angico,1
"Crédito Rural, Bolsa Família",Nova Olinda,1
"Crédito Rural, Aposentadoria Rural",Xambioá,1
Crédito Rural,Santa Maria do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Colméia,1
Aposentadoria Rural,Araguaína,1
"Aposentadoria Rural, Aposentadoria INSS",Gurupi,1
"Merenda Escolar (PENAE), Bolsa Família, Aposentadoria Rural, Oportunidade",Araguaína,1
"Compra Direta (PAA), Bolsa Família",Pedro Afonso,1
Aposentadoria Rural,Fátima,1
"Crédito Rural, Bolsa Família",dois Irmãos do Tocantins,1
"Crédito Rural, Aposentadoria Rural",dois Irmãos do Tocantins,1
"Compra Direta (PAA), Aposentadoria Rural, PENSÃO POR MORTE",Nova Olinda,1
"Não, Compra Direta (PAA), Bolsa Família",Nova Olinda,1
Não,Dianópolis,1
"Crédito Rural, Bolsa Família",Santa Fé do Araguaia,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Bolsa Família",Dianópolis,1
"Crédito Rural, Compra Direta (PAA), Merenda Escolar (PENAE), Fomento, Bolsa Família",dois Irmãos do Tocantins,1
"Crédito Rural, Compra Direta (PAA), Aposentadoria Rural",Rio Sono,1
"Compra Direta (PAA), Aposentadoria Rural",Caseara,1
"Compra Direta (PAA), Merenda Escolar (PENAE), Aposentadoria Rural",Gurupi,1
"Crédito Rural, Compra Direta (PAA)",Figueirópolis,1
"Crédito Rural, Compra Direta (PAA), Bolsa Família",Paranã,1
Crédito Rural,Itaguatins,1
Compra Direta (PAA),Fátima,1
Crédito Rural,Fátima,1
