atividade_produtiva,municipio_ibge,count
"Bovinocultura de corte, Avicultura, Suinocultura, Fruticultura, Culturas Anuais",Araguaína,1
"Bovinocultura de corte, Mandiocultura, Culturas Anuais",Porto Alegre do Tocantins,1
"Avicultura, Suinocultura, Mandiocultura, Olericultura",Dianópolis,1
"Bovinocultura de corte, Mandiocultura, Culturas Anuais",Paranã,1
"Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",Nova Olinda,1
"Avicultura, Mandiocultura, Olericultura, Culturas Anuais",Palmeiras do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais",Araguaína,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Santa Fé do Araguaia,1
"Bovinocultura de corte, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Culturas Anuais, Extrativismo Vegetal",Nova Olinda,1
"Avicultura, Suinocultura, Mandiocultura, Culturas Anuais",Angico,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",Almas,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura, Suinocultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais, Extrativismo Vegetal",Esperantina,1
"Bovinocultura de corte, Bovinocultura de Leite, Avicultura",Abreulândia,1
"Bovinocultura de Leite, Avicultura",Gurupi,1
"Avicultura, Suinocultura, Ovinocaprinocultura, Mandiocultura",Marianópolis do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Fruticultura",Chapada de Areia,1
"Bovinocultura de Leite, Avicultura, Suinocultura, Pisicultura",Aurora do Tocantins,1
"Avicultura, Suinocultura",Cristalândia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",Cariri do Tocantins,1
Bovinocultura de corte,Paranã,1
"Bovinocultura de corte, Mandiocultura",Goiatins,1
Bovinocultura de Leite,Aliança do Tocantins,1
"Bovinocultura de corte, Avicultura, Suinocultura",Nova Rosalândia,1
"Mandiocultura, Fruticultura",Abreulândia,1
"Bovinocultura de corte, Fruticultura",Paraíso do Tocantins,1
"Bovinocultura de corte, Avicultura, Olericultura",Dianópolis,1
"Bovinocultura de corte, Avicultura, Fruticultura",Lagoa da Confusão,1
"Avicultura, Suinocultura",Paranã,1
"Avicultura, Suinocultura",Luzinópolis,1
"Bovinocultura de Leite, Avicultura, Suinocultura",Filadélfia,1
"Bovinocultura de Leite, Avicultura, Suinocultura",Gurupi,1
"Bovinocultura de Leite, Avicultura, Suinocultura",Sucupira,1
"Bovinocultura de Leite, Avicultura, Olericultura",Paraíso do Tocantins,1
Avicultura,Nova Rosalândia,1
Fruticultura,Palmeiras do Tocantins,1
"Bovinocultura de corte, Avicultura, Pisicultura",Chapada de Areia,1
"Avicultura, Suinocultura",Esperantina,1
"Avicultura, Suinocultura",Almas,1
"Bovinocultura de Leite, Avicultura, Suinocultura",Pium,1
Suinocultura,Barrolândia,1
Bovinocultura de Leite,Axixá do Tocantins,1
"Bovinocultura de corte, Bovinocultura de Leite",Colméia,1
"Avicultura, Suinocultura",Luzinópolis,1
"Bovinocultura de corte, Bovinocultura de Leite",Dueré,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura, Olericultura, Culturas Anuais",Ipueiras,1
Bovinocultura de Leite,Axixá do Tocantins,1
gado de cria,Barrolândia,1
Bovinocultura de Leite,Palmeirópolis,1
"Mandiocultura, Olericultura, Culturas Anuais",Nova Olinda,1
Bovinocultura de Leite,Palmeiras do Tocantins,1
"Bovinocultura de corte, Extrativismo Vegetal",Paranã,1
"Bovinocultura de Leite, Turismo e artesanato",Araguanã,1
"Suinocultura, Olericultura, Culturas Anuais",Palmeiras do Tocantins,1
Avicultura,Dianópolis,1
Olericultura,Chapada de Areia,1
Bovinocultura de Leite,Marianópolis do Tocantins,1
"Avicultura, Mandiocultura, Culturas Anuais",Novo Acordo,1
"Avicultura, Mandiocultura",Ananás,1
"Avicultura, Mandiocultura, Culturas Anuais",Almas,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Culturas Anuais",Piraquê,1
Bovinocultura de Leite,Aliança do Tocantins,1
Mandiocultura,Couto Magalhães,1
"Avicultura, Mandiocultura, Culturas Anuais",Wanderlândia,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura",Xambioá,1
"Avicultura, Mandiocultura",Peixe,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Fruticultura",Dianópolis,1
"Avicultura, Olericultura, Culturas Anuais",Palmeiras do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Pisicultura, Mandiocultura",Fátima,1
Apicultura/meliponicultura,Paraíso do Tocantins,1
Olericultura,Lajeado,1
Mandiocultura,Figueirópolis,1
Bovinocultura de corte,Silvanópolis,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Culturas Anuais",Divinópolis do Tocantins,1
"Extrativismo Vegetal, PESCA",Lagoa da Confusão,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Olericultura",Paraíso do Tocantins,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",Dianópolis,1
Mandiocultura,Monte Santo do Tocantins,1
"Mandiocultura, Olericultura",Paraíso do Tocantins,1
Bovinocultura de corte,Alvorada,1
"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura",Marianópolis do Tocantins,1
Avicultura,Filadélfia,1
