,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens
246,1702158.0,Araguanã,Araguaina,Pouco degradado
247,1702703.0,Aurora do Tocantins,Taguatinga,Pouco degradado
248,1716109.0,Paraíso do Tocantins,Paraiso,Pouco degradado
249,1712504.0,Marianópolis do Tocantins,Paraiso,Não possui degradação
250,1712454.0,Luzinópolis,Araguatins,Degradação Média
251,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
252,1702901.0,Axixá do Tocantins,Araguatins,Pouco degradado
253,1711100.0,Itaporã do Tocantins,Colinas,Não possui degradação
254,1704600.0,Chapada de Areia,Paraiso,Não possui degradação
255,1707108.0,Divinópolis do Tocantins,Paraiso,Não possui degradação
256,1702158.0,Araguanã,Araguaina,Pouco degradado
257,1702901.0,Axixá do Tocantins,Araguatins,Não possui degradação
258,1707108.0,Divinópolis do Tocantins,Paraiso,
259,1722107.0,Xambioá,Araguaina,Pouco degradado
260,1722107.0,Xambioá,Araguaina,Pouco degradado
261,1702901.0,Axixá do Tocantins,Araguatins,Não possui degradação
262,1722107.0,Xambioá,Araguaina,Degradação Média
263,1722107.0,Xambioá,Araguaina,Degradação Média
264,1707207.0,dois Irmãos do Tocantins,Paraiso,Pouco degradado
265,1704600.0,Chapada de Areia,Paraiso,Pouco degradado
266,1709005.0,Goiatins,Araguaina,Pouco degradado
267,1722107.0,Xambioá,Araguaina,Degradação Média
268,1702158.0,Araguanã,Araguaina,Pouco degradado
269,1702158.0,Araguanã,Araguaina,Pouco degradado
270,1705102.0,Chapada da Natividade,Porto,Pouco degradado
271,1707108.0,Divinópolis do Tocantins,Paraiso,Não possui degradação
272,1705102.0,Chapada da Natividade,Porto,Pouco degradado
273,1702109.0,Araguaína,Araguaina,Não possui degradação
274,1713304.0,Miranorte,Miracema,Não possui degradação
275,1720978.0,Talismã,Gurupi,Não possui degradação
276,1704600.0,Chapada de Areia,Paraiso,Degradação Média
277,1705102.0,Chapada da Natividade,Porto,Degradação Média
278,1711902.0,Lagoa da Confusão,Paraiso,Não possui degradação
279,1718758.0,Rio Sono,Miracema,Não possui degradação
280,1707009.0,Dianópolis,Taguatinga,Pouco degradado
281,1707108.0,Divinópolis do Tocantins,Paraiso,Pouco degradado
282,1713809.0,Palmeiras do Tocantins,Araguatins,Pouco degradado
283,1707108.0,Divinópolis do Tocantins,Paraiso,Pouco degradado
284,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Degradação Média
285,1716208.0,Paranã,Taguatinga,Não possui degradação
286,1705102.0,Chapada da Natividade,Porto,Pouco degradado
287,1705102.0,Chapada da Natividade,Porto,Pouco degradado
288,1707108.0,Divinópolis do Tocantins,Paraiso,Pouco degradado
289,1700251.0,Abreulândia,Paraiso,Não possui degradação
290,1716208.0,Paranã,Taguatinga,Não possui degradação
291,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,Não possui degradação
292,1716505.0,Pedro Afonso,Miracema,Não possui degradação
293,1700707.0,Alvorada,Gurupi,Não possui degradação
294,1700400.0,Almas,Taguatinga,Pouco degradado
295,1707108.0,Divinópolis do Tocantins,Paraiso,Não possui degradação
296,1720101.0,São Bento do Tocantins,Araguatins,
