,codigo_final,municipio_ibge,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,degradacao_ord
205,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
206,1721109.0,Tocantínia,Miracema,pouco degradado,1.0
207,1702158.0,Araguanã,Araguaina,nao possui degradacao,0.0
208,1713205.0,Miracema do Tocantins,Miracema,pouco degradado,1.0
209,1709500.0,Gurupi,Gurupi,pouco degradado,1.0
210,1717503.0,Pium,Paraiso,pouco degradado,1.0
211,1709500.0,Gurupi,Gurupi,pouco degradado,1.0
212,1707702.0,Filadélfia,Araguaina,nao possui degradacao,0.0
213,1702109.0,Araguaína,Araguaina,pouco degradado,1.0
214,1707702.0,Filadélfia,Araguaina,pouco degradado,1.0
215,1701309.0,Aragominas,Araguaina,nan,
216,1701002.0,Ananás,Araguatins,nao possui degradacao,0.0
217,1715754.0,Palmeirópolis,Gurupi,pouco degradado,1.0
218,1722107.0,Xambioá,Araguaina,degradacao media,2.0
219,1700400.0,Almas,Taguatinga,nao possui degradacao,0.0
220,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
221,1703883.0,Carmolândia,Araguaina,nao possui degradacao,0.0
222,1707009.0,Dianópolis,Taguatinga,degradacao media,2.0
223,1707306.0,Dueré,Gurupi,degradacao media,2.0
224,1716109.0,Paraíso do Tocantins,Paraiso,pouco degradado,1.0
225,1700707.0,Alvorada,Gurupi,pouco degradado,1.0
226,1700400.0,Almas,Taguatinga,nao possui degradacao,0.0
227,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
228,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
229,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
230,1716109.0,Paraíso do Tocantins,Paraiso,nan,
231,1717503.0,Pium,Paraiso,nao possui degradacao,0.0
232,1720853.0,Sucupira,Gurupi,nao possui degradacao,0.0
233,1707702.0,Filadélfia,Araguaina,degradacao media,2.0
234,1709500.0,Gurupi,Gurupi,nao possui degradacao,0.0
235,1718865.0,Santa Fé do Araguaia,Araguaina,degradacao media,2.0
236,1718550.0,Riachinho,Araguatins,nao possui degradacao,0.0
237,1713205.0,Miracema do Tocantins,Porto,degradacao media,2.0
238,1712454.0,Luzinópolis,Araguatins,degradacao media,2.0
239,1702901.0,Axixá do Tocantins,Araguatins,nao possui degradacao,0.0
240,1713205.0,Miracema do Tocantins,Miracema,pouco degradado,1.0
241,1708254.0,Fortaleza do Tabocão,Miracema,pouco degradado,1.0
242,1713304.0,Miranorte,Miracema,pouco degradado,1.0
243,1720804.0,Sítio Novo do Tocantins,Araguatins,degradacao media,2.0
244,1703883.0,Carmolândia,Araguaina,pouco degradado,1.0
245,1701309.0,Aragominas,Araguaina,pouco degradado,1.0
246,1702158.0,Araguanã,Araguaina,pouco degradado,1.0
247,1702703.0,Aurora do Tocantins,Taguatinga,pouco degradado,1.0
248,1716109.0,Paraíso do Tocantins,Paraiso,pouco degradado,1.0
249,1712504.0,Marianópolis do Tocantins,Paraiso,nao possui degradacao,0.0
250,1712454.0,Luzinópolis,Araguatins,degradacao media,2.0
251,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
252,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
253,1711100.0,Itaporã do Tocantins,Colinas,nao possui degradacao,0.0
254,1704600.0,Chapada de Areia,Paraiso,nao possui degradacao,0.0
255,1707108.0,Divinópolis do Tocantins,Paraiso,nao possui degradacao,0.0
256,1702158.0,Araguanã,Araguaina,pouco degradado,1.0
257,1702901.0,Axixá do Tocantins,Araguatins,nao possui degradacao,0.0
258,1707108.0,Divinópolis do Tocantins,Paraiso,nan,
259,1722107.0,Xambioá,Araguaina,pouco degradado,1.0
260,1722107.0,Xambioá,Araguaina,pouco degradado,1.0
261,1702901.0,Axixá do Tocantins,Araguatins,nao possui degradacao,0.0
262,1722107.0,Xambioá,Araguaina,degradacao media,2.0
263,1722107.0,Xambioá,Araguaina,degradacao media,2.0
264,1707207.0,dois Irmãos do Tocantins,Paraiso,pouco degradado,1.0
265,1704600.0,Chapada de Areia,Paraiso,pouco degradado,1.0
266,1709005.0,Goiatins,Araguaina,pouco degradado,1.0
267,1722107.0,Xambioá,Araguaina,degradacao media,2.0
268,1702158.0,Araguanã,Araguaina,pouco degradado,1.0
269,1702158.0,Araguanã,Araguaina,pouco degradado,1.0
270,1705102.0,Chapada da Natividade,Porto,pouco degradado,1.0
271,1707108.0,Divinópolis do Tocantins,Paraiso,nao possui degradacao,0.0
272,1705102.0,Chapada da Natividade,Porto,pouco degradado,1.0
273,1702109.0,Araguaína,Araguaina,nao possui degradacao,0.0
274,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
275,1720978.0,Talismã,Gurupi,nao possui degradacao,0.0
276,1704600.0,Chapada de Areia,Paraiso,degradacao media,2.0
277,1705102.0,Chapada da Natividade,Porto,degradacao media,2.0
278,1711902.0,Lagoa da Confusão,Paraiso,nao possui degradacao,0.0
279,1718758.0,Rio Sono,Miracema,nao possui degradacao,0.0
280,1707009.0,Dianópolis,Taguatinga,pouco degradado,1.0
281,1707108.0,Divinópolis do Tocantins,Paraiso,pouco degradado,1.0
282,1713809.0,Palmeiras do Tocantins,Araguatins,pouco degradado,1.0
283,1707108.0,Divinópolis do Tocantins,Paraiso,pouco degradado,1.0
284,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,degradacao media,2.0
285,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
286,1705102.0,Chapada da Natividade,Porto,pouco degradado,1.0
287,1705102.0,Chapada da Natividade,Porto,pouco degradado,1.0
288,1707108.0,Divinópolis do Tocantins,Paraiso,pouco degradado,1.0
289,1700251.0,Abreulândia,Paraiso,nao possui degradacao,0.0
290,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
291,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,nao possui degradacao,0.0
292,1716505.0,Pedro Afonso,Miracema,nao possui degradacao,0.0
293,1700707.0,Alvorada,Gurupi,nao possui degradacao,0.0
294,1700400.0,Almas,Taguatinga,pouco degradado,1.0
295,1707108.0,Divinópolis do Tocantins,Paraiso,nao possui degradacao,0.0
296,1720101.0,São Bento do Tocantins,Araguatins,nan,
297,1707108.0,Divinópolis do Tocantins,Paraiso,nao possui degradacao,0.0
298,1703305.0,Bom Jesus do Tocantins,Miracema,pouco degradado,1.0
299,1705102.0,Chapada da Natividade,Porto,pouco degradado,1.0
300,1715259.0,Novo Jardim,Taguatinga,pouco degradado,1.0
301,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
302,1713304.0,Miranorte,Miracema,nao possui degradacao,0.0
303,1716208.0,Paranã,Taguatinga,degradacao media,2.0
304,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,pouco degradado,1.0
305,1709005.0,Goiatins,Araguaina,pouco degradado,1.0
306,1716505.0,Pedro Afonso,Miracema,nao possui degradacao,0.0
307,1720002.0,Santa Terezinha do Tocantins,Araguatins,degradacao media,2.0
308,1700707.0,Alvorada,Gurupi,nao possui degradacao,0.0
309,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
310,1716604.0,Peixe,Gurupi,pouco degradado,1.0
311,1703057.0,Bandeirantes do Tocantins,Araguatins,pouco degradado,1.0
312,1703107.0,Barrolândia,Paraiso,pouco degradado,1.0
313,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
314,1700707.0,Alvorada,Gurupi,nao possui degradacao,0.0
315,1718899.0,Santa Rita do Tocantins,Gurupi,pouco degradado,1.0
316,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,pouco degradado,1.0
317,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
318,1713809.0,Palmeiras do Tocantins,Araguatins,nao possui degradacao,0.0
319,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
320,1713809.0,Palmeiras do Tocantins,Araguatins,nao possui degradacao,0.0
321,1716109.0,Paraíso do Tocantins,Paraiso,pouco degradado,1.0
322,1715259.0,Novo Jardim,Taguatinga,nao possui degradacao,0.0
323,1716208.0,Paranã,Taguatinga,nao possui degradacao,0.0
324,1718758.0,Rio Sono,Miracema,nao possui degradacao,0.0
325,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,pouco degradado,1.0
326,1703867.0,Cariri do Tocantins,Gurupi,pouco degradado,1.0
327,1701101.0,Aparecida do Rio Negro,Miracema,nao possui degradacao,0.0
328,1700350.0,Aliança do Tocantins,Gurupi,pouco degradado,1.0
329,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,pouco degradado,1.0
330,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
331,1707207.0,dois Irmãos do Tocantins,Paraiso,pouco degradado,1.0
332,1716505.0,Pedro Afonso,Miracema,nao possui degradacao,0.0
333,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
334,1703107.0,Barrolândia,Paraiso,pouco degradado,1.0
335,1721109.0,Tocantínia,Miracema,pouco degradado,1.0
336,1716505.0,Pedro Afonso,Miracema,pouco degradado,1.0
337,1713205.0,Miracema do Tocantins,Miracema,pouco degradado,1.0
338,1715259.0,Novo Jardim,Taguatinga,nao possui degradacao,0.0
339,1709005.0,Goiatins,Araguaina,pouco degradado,1.0
340,1700707.0,Alvorada,Gurupi,nao possui degradacao,0.0
341,1716703.0,Colméia,Colinas,pouco degradado,1.0
342,1720978.0,Talismã,Gurupi,nan,
343,1707702.0,Filadélfia,Araguaina,pouco degradado,1.0
344,1705102.0,Chapada da Natividade,Porto,pouco degradado,1.0
345,1705102.0,Chapada da Natividade,Porto,degradacao media,2.0
346,1702158.0,Araguanã,Araguaina,nao possui degradacao,0.0
347,1720978.0,Talismã,Gurupi,nao possui degradacao,0.0
348,1717503.0,Pium,Paraiso,nao possui degradacao,0.0
349,1720655.0,Silvanópolis,Porto,pouco degradado,1.0
350,1707108.0,Divinópolis do Tocantins,Paraiso,pouco degradado,1.0
351,1705102.0,Chapada da Natividade,Porto,degradacao media,2.0
352,1707108.0,Divinópolis do Tocantins,Paraiso,pouco degradado,1.0
353,1717503.0,Pium,Paraiso,nao possui degradacao,0.0
354,1707009.0,Dianópolis,Taguatinga,nao possui degradacao,0.0
355,1702901.0,Axixá do Tocantins,Araguatins,pouco degradado,1.0
356,1720978.0,Talismã,Gurupi,nao possui degradacao,0.0
357,1713700.0,Monte Santo do Tocantins,Paraiso,pouco degradado,1.0
358,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
359,1720853.0,Sucupira,Gurupi,nao possui degradacao,0.0
360,1718006.0,Porto Alegre do Tocantins,Taguatinga,degradacao media,2.0
361,1717800.0,Ponte Alta do Bom Jesus,Taguatinga,pouco degradado,1.0
362,1707108.0,Divinópolis do Tocantins,Paraiso,nao possui degradacao,0.0
363,1709302.0,Guaraí,Colinas,nao possui degradacao,0.0
