municipio_ibge,atividade_produtiva,total_respostas,regional
Fortaleza do Tabocão,Suinocultura,6,Miracema
Fortaleza do Tabocão,Vaca - cruzada,5,Miracema
Fátima,Avicultura,6,Porto Nacional
Fátima,Bovinocultura de corte,4,Porto Nacional
Fátima,Bovinocultura mista (touro - com características de corte,5,Porto Nacional
Fátima,Culturas anuais,2,Porto Nacional
Fátima,Extrativismo vegetal,2,Porto Nacional
Fátima,Fruticultura,1,Porto Nacional
Fátima,Leite) -,5,Porto Nacional
Fátima,Mandiocultura,5,Porto Nacional
Fátima,Olericultura,1,Porto Nacional
Fátima,Pisicultura,1,Porto Nacional
Fátima,Principais produtos comercializados - bezerros,5,Porto Nacional
Fátima,Suinocultura,2,Porto Nacional
Fátima,Vaca - cruzada,5,Porto Nacional
Goiatins,Avicultura,2,Araguína
Goiatins,Bovinocultura de corte,6,Araguína
Goiatins,Bovinocultura de leite,1,Araguína
Goiatins,Bovinocultura mista (touro - com características de corte,3,Araguína
Goiatins,Culturas anuais,1,Araguína
Goiatins,Leite) -,3,Araguína
Goiatins,Mandiocultura,3,Araguína
Goiatins,Pisicultura,2,Araguína
Goiatins,Principais produtos comercializados - bezerros,3,Araguína
Goiatins,Suinocultura,1,Araguína
Goiatins,Vaca - cruzada,3,Araguína
Guaraí,Avicultura,5,Colinas
Guaraí,Bovinocultura de corte,15,Colinas
Guaraí,Bovinocultura de leite,10,Colinas
Guaraí,Bovinocultura mista (touro - com características de corte,4,Colinas
Guaraí,Fruticultura,4,Colinas
Guaraí,Leite) -,4,Colinas
Guaraí,Mandiocultura,8,Colinas
Guaraí,Olericultura,4,Colinas
Guaraí,Ovinocaprinocultura,2,Colinas
Guaraí,Pisicultura,2,Colinas
Guaraí,Principais produtos comercializados - bezerros,4,Colinas
Guaraí,Suinocultura,4,Colinas
Guaraí,Vaca - cruzada,4,Colinas
Gurupi,Agroindústria,1,Gurupi
Gurupi,Apicultura,1,Gurupi
Gurupi,Avicultura,22,Gurupi
Gurupi,Bovinocultura de corte,10,Gurupi
Gurupi,Bovinocultura de leite,4,Gurupi
Gurupi,Bovinocultura mista (touro - com características de corte,5,Gurupi
Gurupi,Cana de açucar,1,Gurupi
Gurupi,Leite) -,5,Gurupi
Gurupi,Mandiocultura,7,Gurupi
Gurupi,Meliponicultura,1,Gurupi
Gurupi,Olericultura,4,Gurupi
Gurupi,Ovinocaprinocultura,1,Gurupi
Gurupi,Principais produtos comercializados - bezerros,5,Gurupi
Gurupi,Suinocultura,14,Gurupi
Gurupi,Vaca - cruzada,5,Gurupi
Ipueiras,Avicultura,5,Porto Nacional
Ipueiras,Bovinocultura de corte,5,Porto Nacional
Ipueiras,Bovinocultura mista (touro - com características de corte,1,Porto Nacional
Ipueiras,Culturas anuais,2,Porto Nacional
Ipueiras,Fruticultura,2,Porto Nacional
Ipueiras,Leite) -,1,Porto Nacional
Ipueiras,Mandiocultura,5,Porto Nacional
Ipueiras,Olericultura,1,Porto Nacional
Ipueiras,Principais produtos comercializados - bezerros,1,Porto Nacional
Ipueiras,Suinocultura,2,Porto Nacional
Ipueiras,Vaca - cruzada,1,Porto Nacional
Itaguatins,Avicultura,3,Araguatins
Itaguatins,Bovinocultura de corte,1,Araguatins
Itaguatins,Bovinocultura de leite,2,Araguatins
Itaguatins,Bovinocultura mista (touro - com características de corte,1,Araguatins
Itaguatins,Culturas anuais,1,Araguatins
Itaguatins,Fruticultura,2,Araguatins
Itaguatins,Leite) -,1,Araguatins
Itaguatins,Mandiocultura,2,Araguatins
Itaguatins,Olericultura,1,Araguatins
Itaguatins,Pisicultura,1,Araguatins
Itaguatins,Principais produtos comercializados - bezerros,1,Araguatins
Itaguatins,Suinocultura,2,Araguatins
Itaguatins,Vaca - cruzada,1,Araguatins
Itaporã do Tocantins,Bovinocultura de corte,1,Colinas
Itaporã do Tocantins,Bovinocultura de leite,1,Colinas
Itaporã do Tocantins,Fruticultura,1,Colinas
Jaú do Tocantins,Avicultura,2,Gurupi
Jaú do Tocantins,Bovinocultura de corte,2,Gurupi
Jaú do Tocantins,Bovinocultura de leite,5,Gurupi
Lagoa da Confusão,Avicultura,4,Paraiso
Lagoa da Confusão,Bovinocultura de corte,6,Paraiso
Lagoa da Confusão,Culturas anuais,3,Paraiso
Lagoa da Confusão,Extrativismo vegetal,4,Paraiso
Lagoa da Confusão,Fruticultura,2,Paraiso
Lagoa da Confusão,Mandiocultura,6,Paraiso
Lagoa da Confusão,Olericultura,1,Paraiso
Lagoa da Confusão,Pesca,2,Paraiso
Lagoa da Confusão,Suinocultura,1,Paraiso
Lajeado,Avicultura,1,Porto Nacional
Lajeado,Bovinocultura de leite,1,Porto Nacional
Lajeado,Extrativismo vegetal,1,Porto Nacional
Lajeado,Olericultura,1,Porto Nacional
Lajeado,Pisicultura,5,Porto Nacional
Luzinópolis,Apicultura,1,Araguatins
Luzinópolis,Avicultura,9,Araguatins
Luzinópolis,Bovinocultura de corte,3,Araguatins
Luzinópolis,Bovinocultura de leite,4,Araguatins
Luzinópolis,Bovinocultura mista (touro - com características de corte,1,Araguatins
Luzinópolis,Culturas anuais,4,Araguatins
Luzinópolis,Fruticultura,1,Araguatins
Luzinópolis,Leite) -,1,Araguatins
Luzinópolis,Mandiocultura,4,Araguatins
Luzinópolis,Meliponicultura,1,Araguatins
Luzinópolis,Olericultura,2,Araguatins
Luzinópolis,Ovinocaprinocultura,1,Araguatins
Luzinópolis,Pisicultura,1,Araguatins
Luzinópolis,Principais produtos comercializados - bezerros,1,Araguatins
Luzinópolis,Suinocultura,5,Araguatins
Luzinópolis,Vaca - cruzada,1,Araguatins
Marianópolis do Tocantins,Apicultura,1,Paraiso
Marianópolis do Tocantins,Avicultura,24,Paraiso
Marianópolis do Tocantins,Bovinocultura de corte,16,Paraiso
Marianópolis do Tocantins,Bovinocultura de leite,3,Paraiso
