acessa_ou_ja_acessou_politicas_publicas__,municipio_ibge,count
Compra direta (paa),Santa Maria do Tocantins,1
Fomento,Santa Maria do Tocantins,1
Aposentadoria rural,Santa Maria do Tocantins,1
Compra direta (paa),Miracema do Tocantins,1
Aposentadoria rural,Miracema do Tocantins,1
Compra direta (paa),Ipueiras,1
Fomento,Porto Nacional,1
Crédito rural,Couto Magalhães,1
Compra direta (paa),Couto Magalhães,1
Merenda escolar (penae),Couto Magalhães,1
Fomento,Couto Magalhães,1
Aposentadoria rural,Couto Magalhães,1
Bolsa família,Nova Olinda,1
Aposentadoria rural,Nova Olinda,1
Não,Palmeirópolis,1
Compra direta (paa),dois Irmãos do Tocantins,1
Merenda escolar (penae),dois Irmãos do Tocantins,1
Bolsa família,dois Irmãos do Tocantins,1
Aposentadoria rural,dois Irmãos do Tocantins,1
Compra direta (paa),Santa Maria do Tocantins,1
Merenda escolar (penae),Santa Maria do Tocantins,1
Fomento,Santa Maria do Tocantins,1
Bolsa família,Bom Jesus do Tocantins,1
Compra direta (paa),Chapada de Areia,1
Compra direta (paa),dois Irmãos do Tocantins,1
Aposentadoria rural,dois Irmãos do Tocantins,1
Crédito rural,Palmeirópolis,1
Compra direta (paa),Palmeirópolis,1
Compra direta (paa),Almas,1
Aposentadoria rural,Almas,1
Compra direta (paa),Araguatins,1
Não,Colméia,1
Crédito rural,Colméia,1
Compra direta (paa),Colméia,1
Merenda escolar (penae),Colméia,1
Bolsa família,Colméia,1
Compra direta (paa),Bom Jesus do Tocantins,1
Merenda escolar (penae),Bom Jesus do Tocantins,1
Fomento,Bom Jesus do Tocantins,1
Crédito rural,Paranã,1
Compra direta (paa),Novo Acordo,1
Merenda escolar (penae),Novo Acordo,1
Fomento,Novo Acordo,1
Crédito rural,Dianópolis,1
Compra direta (paa),Dianópolis,1
Merenda escolar (penae),Dianópolis,1
Não,,1
Compra direta (paa),Babaçulândia,1
Bolsa família,Babaçulândia,1
Aposentadoria rural,Fátima,1
Crédito rural,Paraíso do Tocantins,1
Compra direta (paa),Paraíso do Tocantins,1
Merenda escolar (penae),Paraíso do Tocantins,1
Fomento,Paraíso do Tocantins,1
Aposentadoria rural,Cristalândia,1
Bpc,Cristalândia,1
Crédito rural,Esperantina,1
Compra direta (paa),Esperantina,1
Merenda escolar (penae),Esperantina,1
Fomento,Esperantina,1
Compra direta (paa),,1
Merenda escolar (penae),,1
Fomento,,1
Bolsa família,,1
Crédito rural,Dianópolis,1
Compra direta (paa),Dianópolis,1
Merenda escolar (penae),Dianópolis,1
Bolsa família,Dianópolis,1
Compra direta (paa),Santa Fé do Araguaia,1
Compra direta (paa),Silvanópolis,1
Não,Divinópolis do Tocantins,1
Crédito rural,Itaguatins,1
Aposentadoria rural,Itaguatins,1
Crédito rural,Nova Olinda,1
Compra direta (paa),Nova Olinda,1
Merenda escolar (penae),Nova Olinda,1
Bolsa família,Nova Olinda,1
Aposentadoria rural,Nova Olinda,1
Compra direta (paa),Talismã,1
Fomento,Talismã,1
Bolsa família,Talismã,1
Crédito rural,Bandeirantes do Tocantins,1
Fomento,Bandeirantes do Tocantins,1
Compra direta (paa),São Salvador do Tocantins,1
Merenda escolar (penae),São Salvador do Tocantins,1
Crédito rural,darcinópolis,1
Ater,darcinópolis,1
Compra direta (paa),Riachinho,1
Bolsa família,Riachinho,1
Crédito rural,Palmeiras do Tocantins,1
Compra direta (paa),Palmeiras do Tocantins,1
Merenda escolar (penae),Palmeiras do Tocantins,1
Bolsa família,Dianópolis,1
Compra direta (paa),Nova Olinda,1
Merenda escolar (penae),Nova Olinda,1
Crédito rural,Barrolândia,1
Crédito rural,Filadélfia,1
Compra direta (paa),Filadélfia,1
Merenda escolar (penae),Filadélfia,1
Crédito rural,Santa Fé do Araguaia,1
Compra direta (paa),Santa Fé do Araguaia,1
Compra direta (paa),Ananás,1
Bolsa família,Ananás,1
Não,Monte Santo do Tocantins,1
Bolsa família,Silvanópolis,1
Não,Alvorada,1
Crédito rural,Monte do Carmo,1
Compra direta (paa),Araguaçu,1
Não,Colméia,1
Compra direta (paa),Praia Norte,1
Aposentadoria rural,Praia Norte,1
Não,Barrolândia,1
Agente saúde,São Salvador do Tocantins,1
Compra direta (paa),Nova Rosalândia,1
Bolsa família,Nova Rosalândia,1
Crédito rural,Rio Sono,1
Crédito rural,Barrolândia,1
Compra direta (paa),dois Irmãos do Tocantins,1
Merenda escolar (penae),dois Irmãos do Tocantins,1
Bolsa família,dois Irmãos do Tocantins,1
Compra direta (paa),Tupirama,1
Merenda escolar (penae),Tupirama,1
Aposentadoria rural,Tupirama,1
Crédito rural,Dueré,1
Crédito rural,Monte Santo do Tocantins,1
Fomento,Axixá do Tocantins,1
Aposentadoria rural,Axixá do Tocantins,1
Crédito rural,Nova Olinda,1
Merenda escolar (penae),Nova Olinda,1
Fomento,Nova Olinda,1
Bolsa família,Nova Olinda,1
Crédito rural,dois Irmãos do Tocantins,1
Compra direta (paa),dois Irmãos do Tocantins,1
Merenda escolar (penae),dois Irmãos do Tocantins,1
Compra direta (paa),Dianópolis,1
Merenda escolar (penae),Dianópolis,1
Aposentadoria rural,Dianópolis,1
Não,Novo Jardim,1
Pensão,Marianópolis do Tocantins,1
Crédito rural,Sucupira,1
Compra direta (paa),Sucupira,1
Aposentadoria rural,Sucupira,1
Compra direta (paa),darcinópolis,1
Merenda escolar (penae),darcinópolis,1
Conab,darcinópolis,1
Crédito rural,Axixá do Tocantins,1
Loa,Nova Olinda,1
Crédito rural,São Salvador do Tocantins,1
Compra direta (paa),Aparecida do Rio Negro,1
Merenda escolar (penae),Aparecida do Rio Negro,1
Bolsa família,Aparecida do Rio Negro,1
Aposentadoria rural,São Salvador do Tocantins,1
Crédito rural,Miranorte,1
Bolsa família,Miranorte,1
Aposentadoria rural,Araguaçu,1
Crédito rural,Araguatins,1
Compra direta (paa),Araguatins,1
Aposentadoria rural,Araguatins,1
Crédito rural,Paranã,1
Compra direta (paa),Paranã,1
Merenda escolar (penae),Paranã,1
Crédito rural,Dianópolis,1
Compra direta (paa),Dianópolis,1
Merenda escolar (penae),Dianópolis,1
Aposentadoria rural,Dianópolis,1
Não,Dueré,1
Aposentadoria por invalidez,Paraíso do Tocantins,1
Aposentadoria por invalidade,Santa Fé do Araguaia,1
Crédito rural,Sucupira,1
Não,Paraíso do Tocantins,1
Compra direta (paa),Divinópolis do Tocantins,1
Bolsa família,Gurupi,1
Crédito rural,Dianópolis,1
Compra direta (paa),Dianópolis,1
Merenda escolar (penae),Dianópolis,1
Aposentadoria rural,Dianópolis,1
Não,Fátima,1
Crédito rural,Bandeirantes do Tocantins,1
Merenda escolar (penae),Bandeirantes do Tocantins,1
Aposentadoria rural,Bandeirantes do Tocantins,1
Não,Angico,1
Crédito rural,Nova Olinda,1
Bolsa família,Nova Olinda,1
Crédito rural,Xambioá,1
Aposentadoria rural,Xambioá,1
Crédito rural,Santa Maria do Tocantins,1
Crédito rural,Colméia,1
Compra direta (paa),Colméia,1
Merenda escolar (penae),Colméia,1
Bolsa família,Colméia,1
Aposentadoria rural,Araguaína,1
Aposentadoria rural,Gurupi,1
