municipio_original,enfrenta_dificuldades_para_manter_atividade_produtiva_e_o_atendimento_domestico_em_virtude_de_escass,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
Marianópolis do Tocantins,"Sim, julho a novembro",marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Xambioá,"Sim, julho a novembro",xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
PALMEIRAS,Não,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
Itaguatins,Não,itaguatins,17.0,1710706.0,Itaguatins,itaguatins,,,,,,1710706.0,17.0,Itaguatins
Miracema do Tocantins,"Sim, julho a novembro",miracema do tocantins,17.0,1713205.0,Miracema do Tocantins,miracema do tocantins,,,,,,1713205.0,17.0,Miracema do Tocantins
Tocantínia,Não,tocantinia,17.0,1721109.0,Tocantínia,tocantinia,,,,,,1721109.0,17.0,Tocantínia
Aliança,Não,alianca,,,,,alianca do tocantins,1700350.0,17.0,Aliança do Tocantins,alianca do tocantins,1700350.0,17.0,Aliança do Tocantins
Palmas,Não,palmas,17.0,1721000.0,Palmas,palmas,,,,,,1721000.0,17.0,Palmas
Axixá do Tocantins,Não,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
Axixá do Tocantins,Não,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
Aragominas,Não,aragominas,17.0,1701309.0,Aragominas,aragominas,,,,,,1701309.0,17.0,Aragominas
Araguanã,"Sim, julho a novembro",araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
Paraíso do Tocantins,"Sim, julho a novembro",paraiso do tocantins,17.0,1716109.0,Paraíso do Tocantins,paraiso do tocantins,,,,,,1716109.0,17.0,Paraíso do Tocantins
Marianópolis do Tocantins,Não,marianopolis do tocantins,17.0,1712504.0,Marianópolis do Tocantins,marianopolis do tocantins,,,,,,1712504.0,17.0,Marianópolis do Tocantins
Miranorte,"Sim, julho a novembro",miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
JAU DO TO,Não,jau do to,,,,,jau do tocantins,1711506.0,17.0,Jaú do Tocantins,jau do tocantins,1711506.0,17.0,Jaú do Tocantins
AXIXÁ DO TO,"Sim, julho a novembro",axixa do to,,,,,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins
Araguanã,"Sim, julho a novembro",araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
Miranorte,"Sim, julho a novembro",miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Axixá do Tocantins,Não,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
SÍTIO NOVO DO TOCANTINS,"Sim, julho a novembro",sitio novo do tocantins,17.0,1720804.0,Sítio Novo do Tocantins,sitio novo do tocantins,,,,,,1720804.0,17.0,Sítio Novo do Tocantins
Caseara,Não,caseara,17.0,1703909.0,Caseara,caseara,,,,,,1703909.0,17.0,Caseara
Axixá do Tocantins,Não,axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
JAU DO TO,Não,jau do to,,,,,jau do tocantins,1711506.0,17.0,Jaú do Tocantins,jau do tocantins,1711506.0,17.0,Jaú do Tocantins
Miranorte,Não,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
Araguanã,"Sim, julho a novembro",araguana,17.0,1702158.0,Araguanã,araguana,,,,,,1702158.0,17.0,Araguanã
Miranorte,Não,miranorte,17.0,1713304.0,Miranorte,miranorte,,,,,,1713304.0,17.0,Miranorte
AXIXA DO TOCANTIS,Não,axixa do tocantis,,,,,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins,axixa do tocantins,1702901.0,17.0,Axixá do Tocantins
Guaraí,"Sim, julho a novembro",guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
FILADÉLFIA,Não,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
Guaraí,Não,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
Xambioá,"Sim, julho a novembro",xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Palmeiras do Tocantins,"Sim, julho a novembro",palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
Xambioá,Não,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Aliança do Tocantins,Não,alianca do tocantins,17.0,1700350.0,Aliança do Tocantins,alianca do tocantins,,,,,,1700350.0,17.0,Aliança do Tocantins
Xambioá,Não,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Xambioá,"Sim, julho a novembro",xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Xambioá,Não,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
Itaguatins,Não,itaguatins,17.0,1710706.0,Itaguatins,itaguatins,,,,,,1710706.0,17.0,Itaguatins
AXIXÁ DO TOCANTINS,"Sim, julho a novembro",axixa do tocantins,17.0,1702901.0,Axixá do Tocantins,axixa do tocantins,,,,,,1702901.0,17.0,Axixá do Tocantins
