Unnamed: 0,municipio_original,regional,qual_o_nivel_de_degradacao_que_predomina_nas_pastagens,municipio_norm,COD_UF,COD,NOME,nome_norm,nome_match,COD_fuzzy,COD_UF_fuzzy,NOME_fuzzy,nome_norm_fuzzy,codigo_final,uf_final,municipio_ibge
97,PALMEIRAS,Araguatins,,palmeiras,,,,,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins,palmeiras do tocantins,1713809.0,17.0,Palmeiras do Tocantins
98,TABOCÃO,Miracema,,tabocao,,,,,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão,fortaleza do tabocao,1708254.0,17.0,Fortaleza do Tabocão
99,Palmeiras do Tocantins,Araguatins,,palmeiras do tocantins,17.0,1713809.0,Palmeiras do Tocantins,palmeiras do tocantins,,,,,,1713809.0,17.0,Palmeiras do Tocantins
100,Araguaína,Araguaina,,araguaina,17.0,1702109.0,Araguaína,araguaina,,,,,,1702109.0,17.0,Araguaína
101,Gurupi-TO,Gurupi,,gurupi-to,,,,,gurupi,1709500.0,17.0,Gurupi,gurupi,1709500.0,17.0,Gurupi
102,GUARAÍ,Colinas,,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
103,Guaraí,Colinas,,guarai,17.0,1709302.0,Guaraí,guarai,,,,,,1709302.0,17.0,Guaraí
104,DIANÓPOLIS,Taguatinga,,dianopolis,17.0,1707009.0,Dianópolis,dianopolis,,,,,,1707009.0,17.0,Dianópolis
105,Pium,Paraiso,,pium,17.0,1717503.0,Pium,pium,,,,,,1717503.0,17.0,Pium
106,DOIS IRMAOS,Paraiso,,dois irmaos,,,,,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins,dois irmaos do tocantins,1707207.0,17.0,dois Irmãos do Tocantins
107,ARAGOMINAS -TO,Araguaina,,aragominas -to,,,,,aragominas,1701309.0,17.0,Aragominas,aragominas,1701309.0,17.0,Aragominas
108,FILADÉLFIA,Araguaina,,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
109,Pedro Afonso,Miracema,,pedro afonso,17.0,1716505.0,Pedro Afonso,pedro afonso,,,,,,1716505.0,17.0,Pedro Afonso
110,Wandrlãndia,Araguaina,,wandrlandia,,,,,wanderlandia,1722081.0,17.0,Wanderlândia,wanderlandia,1722081.0,17.0,Wanderlândia
111,Xambioá,Araguaina,,xambioa,17.0,1722107.0,Xambioá,xambioa,,,,,,1722107.0,17.0,Xambioá
112,FILADÉLFIA,Araguaina,,filadelfia,17.0,1707702.0,Filadélfia,filadelfia,,,,,,1707702.0,17.0,Filadélfia
113,Ananás,Araguatins,,ananas,17.0,1701002.0,Ananás,ananas,,,,,,1701002.0,17.0,Ananás
114,LUZINOPOLIS-TO,Araguatins,,luzinopolis-to,,,,,luzinopolis,1712454.0,17.0,Luzinópolis,luzinopolis,1712454.0,17.0,Luzinópolis
115,Almas,Taguatinga,,almas,17.0,1700400.0,Almas,almas,,,,,,1700400.0,17.0,Almas
