area_da_propriedade__hectares__,atividade_produtiva,Record Count
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Mandiocultura, Extrativismo Vegetal",2
20 - 50 ha,"Bovinocultura de corte, Avicultura, Ovinocaprinocultura",2
1 - 5 ha,"Avicultura, Mandiocultura, Fruticultura",2
1 - 5 ha,"Fruticultura, Olericultura",2
5 - 10 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura",2
50 - 100 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",2
50 - 100 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Culturas Anuais",2
Acima de 320 ha,Bovinocultura de corte,2
10 - 20 ha,"Bovinocultura de Leite, Avicultura, Mandiocultura",2
5 - 10 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura",2
1 - 5 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -",2
100 - 200 ha,"Bovinocultura de corte, Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Mandiocultura, Culturas Anuais",2
5 - 10 ha,"Bovinocultura de corte, Avicultura, Mandiocultura",2
20 - 50 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Suinocultura, Culturas Anuais",2
10 - 20 ha,"Mandiocultura, Fruticultura",2
20 - 50 ha,"Bovinocultura de corte, Pisicultura",2
1 - 5 ha,"Avicultura, Pisicultura, Mandiocultura, Olericultura",2
100 - 200 ha,"Bovinocultura mista (Touro - com características de corte, vaca - cruzada, principais produtos comercializados - bezerros e leite) -, Avicultura, Mandiocultura, Culturas Anuais",2
