area_da_propriedade__hectares__,regional_,uso_de_praticas_convencionais,Record Count
10 - 20 ha,Miracema,"Plantio convencional, Aração e gradagem, Monocultura",1
1 - 5 ha,Taguatinga,Plantio convencional,1
100 - 200 ha,Taguatinga,"Roça de toco, Queimadas, Pastagem nativa",1
1 - 5 ha,Taguatinga,"Plantio convencional, Aração e gradagem,",1
10 - 20 ha,Araguaina,"Aração e gradagem, Uso de agrotóxicos",1
1 - 5 ha,Taguatinga,"Roça de toco, Aração e gradagem, Uso de agrotóxicos",1
5 - 10 ha,Araguatins,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",1
20 - 50 ha,Araguatins,"Roça de toco, Queimadas",1
100 - 200 ha,Miracema,"Plantio convencional, Aração e gradagem, Pastagem nativa, Não usa",1
10 - 20 ha,Taguatinga,"Roça de toco, Queimadas, Pastagem nativa, Monocultura",1
5 - 10 ha,Araguatins,"Roça de toco, Não usa",1
20 - 50 ha,Araguatins,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura, Uso de agrotóxicos",1
100 - 200 ha,Araguatins,"Roça de toco, Plantio convencional, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
Até 1 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Pastagem nativa",1
5 - 10 ha,Porto,"Roça de toco, Aração e gradagem, Queimadas, Pastagem nativa, Monocultura",1
Até 1 ha,Taguatinga,Roça de toco,1
20 - 50 ha,Miracema,"Queimadas, Pastagem nativa",1
10 - 20 ha,Araguaina,"Roça de toco, Aração e gradagem, Queimadas, Uso de agrotóxicos",1
20 - 50 ha,Araguatins,Uso de agrotóxicos,1
200 - 320 ha,Araguaina,"Aração e gradagem, Queimadas, Pastagem nativa, Uso de agrotóxicos",1
100 - 200 ha,Gurupi,"Aração e gradagem, Monocultura",1
100 - 200 ha,Paraiso,"Aração e gradagem, Pastagem nativa, Não usa",1
20 - 50 ha,Araguaina,"Aração e gradagem, Queimadas, Uso de agrotóxicos",1
100 - 200 ha,Porto,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",1
20 - 50 ha,Taguatinga,"Aração e gradagem, Queimadas, Pastagem nativa",1
Acima de 320 ha,Araguatins,"Aração e gradagem, Pastagem nativa, Monocultura, Uso de agrotóxicos",1
50 - 100 ha,Araguaina,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa, Monocultura",1
100 - 200 ha,Taguatinga,"Plantio convencional, Aração e gradagem",1
100 - 200 ha,Miracema,"Roça de toco, Aração e gradagem, Pastagem nativa",1
20 - 50 ha,Paraiso,"Roça de toco, Plantio convencional, Uso de agrotóxicos",1
10 - 20 ha,Taguatinga,"Roça de toco, Queimadas",1
100 - 200 ha,Paraiso,"Aração e gradagem, Pastagem nativa",1
1 - 5 ha,Miracema,"Aração e gradagem, Queimadas",1
200 - 320 ha,Taguatinga,"Plantio convencional, Aração e gradagem, Queimadas, Pastagem nativa",1
100 - 200 ha,Miracema,Aração e gradagem,1
20 - 50 ha,Porto,"Plantio convencional, Aração e gradagem, Monocultura, Uso de agrotóxicos",1
100 - 200 ha,Miracema,"Roça de toco, Plantio convencional, Aração e gradagem, Pastagem nativa",1
10 - 20 ha,Paraiso,Monocultura,1
20 - 50 ha,Gurupi,"Plantio convencional, Queimadas, Monocultura, Uso de agrotóxicos",1
Até 1 ha,Araguaina,"Plantio convencional, Aração e gradagem, Uso de agrotóxicos",1
5 - 10 ha,Paraiso,"Roça de toco, Aração e gradagem, Pastagem nativa",1
